teacher_id,item_name,item_year,item_type,journal,journal_type,co_worker_in,co_worker_out,scholarship_type,equis
305018.0,父債子還？相似性、替代性及廠商回應策略對消費者抵制母子公司之研究(2/3),2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
305018.0,"以自發性導引法再探虛擬世界中的沉浸體驗, ' 管理學報, Vol.34, No.4, pp.497-528.(TSSCI)(*為通訊作者), 417555",2017,期刊論文,Journal of Management and Business Research (管理學報),O,"黃增隆*;別蓮蒂;樓永堅,",,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
125884.0,Examining the effects of motivational usage for Instagram on brand engagement: The mediating role of advertising value,2019,期刊論文,Marketing Review,X,,Chia-Tung Chao,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
107991.0,由多通路零售邁向全通路零售: 根據通路整合觀點之文獻回顧與議題探討,2020,期刊論文,NTU Management Review (臺大管理論叢),O,,夏佑安,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
107991.0,"Lo, S. M.*, 2016.07, 'How supplier management practices affect exchange cost when going green: An empirical study, ' Management Review, Vol.35, No.3, pp.1-31.(TSSCI)(*為通訊作者), 408288",2016,期刊論文,Management Review,O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
118370.0,“Instant Return after Purchase” Incident,2020,,,X,"Lien-Ti Bei, Jia-Chun Chen",,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,《任經理的抉擇》─該用Facebook資訊來徵才嗎?,2019,,,X,高雄大學 林杏子 中山大學  王豫萱,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,「秒買秒退」事件,2017,,,X,別蓮蒂 陳嘉純,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,2.2016台灣永續報告現況與趨勢 (2016),2016,,,X,,,Applied_or_Integration_Application_Scholarship,E7:Books (e.g. research monographs)
118370.0,"3.""對於台灣企業倫理與器義社會責任教育的反思""發表於企業倫理、社會責任與永續發展會 (2016)",2016,,,X,,,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
118370.0,"4.""The innovations from Confucianism""發表於上海ISBEE World Congress.",2016,,,X,,,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
118370.0,4.《對於英國轉型城鎮的探究》(台北，台達文教基金會) (2016),2016,,,X,,,Applied_or_Integration_Application_Scholarship,E3:Studies and Reports commissioned by companies and gov't agencies(企業、政府、科技部產學合作計畫)
118370.0,Applebee的社群媒體危機,2018,,,X,張欣綠,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,Chunghwa Post’s Sales Promotion Campaign for “Chunghwa Post VISA Debit Card”,2020,,,X,"Lien-Ti Bei, Jia-Chun Chen",,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,Internal Hacking for Mooncakes in Alibaba Group Holding Co. Ltd.,2020,,,X,"Lien-Ti Bei, Jia-Chun Chen",,Teaching_and_Learning_Scholarship,E6:Published Case Studies
107991.0,Utilizing business process management (BPM) for performance improvement: A case study of an express company in Taiwan,2019,期刊論文,NTU Management Review (臺大管理論叢),O,,"Chang, Y.M.",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
118370.0,Manager Ren’s Dilemma: Should he recruit according to information from Facebook?,2020,,,X,"Lin, Hsing-Tzu Wang, Yu-Hsuan Hsieh Ying-Che",,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,大統油品危機事件,2017,,,X,元智大學 陳勁甫,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,中華電信499促銷方案,2019,,,X,別蓮蒂,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,阿里巴巴工程師搶月餅事件,2017,,,X,別蓮蒂 陳嘉純,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,信義房屋的「社區一家」計畫,2019,,,X,別蓮蒂,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,哲學家來創業―哲學新媒體有限公司,2018,,,X,張瑜倩,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
118370.0,解散是負責任的經營決策？--復興航空的決定,2019,,,X,雲林科大 俞慧芸,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
107991.0,海榮國際公司－供應鏈危機,2019,期刊論文,Industry and Management Forum (產業與管理論壇),O,,徐景輝*;于卓民,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
107991.0,Response to Demand Uncertainty of Supply Chains: A Value-Focused Approach with AHP and TOPSIS,2018,期刊論文,"International Journal of Industrial Engineering: Theory, Applications and Practice",O,,"Chen, J., Liu, T.S.",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
107991.0,Utilizing online stochastic optimization on scheduling of Intensity-Modulate Radiotherapy Therapy (IMRT),2020,期刊論文,Journal of Biomedical Informatics,O,,"Chang, W.H.;Chen, T.L.;Chen, J.C.;Wu, H.N.",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
107991.0,The impact of relationship quality and supplier development on green supply chain integration: A mediation and moderation analysis,2018,期刊論文,Journal of Cleaner Production,O,,"Zhang, S. , Wang, Z., Zhao, X.",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
118370.0,We Are One Project by Sinyi Real Estate Inc.,2020,,,X,Lien-Ti Bei,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
125884.0,"Understanding the nature, uses and gratifications of social television: Implications for developing viewer engagement and network loyalty",2018,期刊論文,Journal of Broadcasting & Electronic Media,O,,"Jhih-Syuan Lin, Yongjun Sung",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305018.0,"大成與頂新之個案分析, ' 食尚品衛:台灣食品產業的發展, 巨流圖書股份有限公司, pp.161-195.(*為通訊作者), 419410, 2017/12",2017,,,X,,,Basic_or_Discovery_Scholarship,E7:Books (e.g. research monographs)
125884.0,"Unlocking the power of ephemeral content: The roles of motivations, gratification, need for closure, and engagement",2019,期刊論文,Computers in Human Behavior,O,,Hoi Ling Cheung,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305021.0,The attitudinal and behavioral impact of brand-centered human resource management: Employee and customer effects,2018,期刊論文,International Journal of Contemporary Hospitality Management,O,,"Chiang, Hsu-Hsin,David McConville",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
123991.0,企業夥伴地理相鄰程度與合作契約治理設計之關聯研究(2/2),2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
123991.0,企業策略合作經驗與後續併購交易條款制定之關聯探討(1/2),2020,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
123991.0,The Role of Executive's Experience in Contract Design,2018,,,X,,"Fabrice Lumineau,Janet Bercovitz",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123991.0,The Effect of Perceived Incongruence on Contract Design: Evidence from Debt Contract,2019,,,X,,"Cyril Um,Wei Shi, Fabrice Lumineau",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123991.0,"Revisiting the Foundations of Organizational Distrust., ' Foundations and Trends in Management, now publishers., 418487, 2017/02",2017,,,X,,"Fabrice Lumineau, Roy J. Lewicki",Basic_or_Discovery_Scholarship,E7:Books (e.g. research monographs)
123991.0,"An Asymmetric View of Franchise Contracts, ' Academy of Management Proceedings, Academy of Management.(*為通訊作者)",2017,,,X,,Fabrice Lumineau,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123991.0,"The Origins of Complex Dispute Resolution Provisions, ' Academy of Management Best Paper Proceedings, Academy of Management.(*為通訊作者)",2017,期刊論文,Academy of Management Best Paper Proceedings,X,,,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123164.0,股東行動主義，公司表現和公司高管的關係(1/2),2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
123164.0,公司政治關聯與公司創新的探討(2/2),2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
123164.0,Who Dares to Say No? Independent Director Dissent in Chinese Public Corporations,2018,,,X,,Pei Sun/Michael Wither,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123164.0,What if Board Political Capital is Lost? Evidence from an Exogenous Regulatory Shock in China,2020,,,X,,Pei Sun,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123164.0,Political Connections and Corporate Innovation,2018,,,X,,,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123164.0,"Going along or going alone: How director dissents impact their career outcomes, ' Strategic Management Society Annual Conference, Strategic Management Society.(*為通訊作者)",2017,,,X,,,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
123164.0,Acceleration and the role of accelerators in entrepreneurship,2018,,,X,,Laurens Vandeweghe,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
126872.0,海榮國際公司 -- 供應鏈危機,2019,期刊論文,產業與管理論壇,O,于卓民，羅明琇,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
111758.0,在有產能短缺的風險之下，具備創業精神之供應商該如何藉由下游買家可部分採購的原則來進行供貨,2016,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
111758.0,小農如何藉由創新的契作合約來脫離貧窮-合作買家依照小農生產數量來收購的新契約型態,2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
111758.0,Inventory renewal for a perishable product: Economies of scale and a ge‐dependent demand.,2020,期刊論文,Naval Research Logistics,,,amar sapra,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111758.0,"Are Purchased-triggered Donations Advantageous with Competition? Journal of the Operational Research Society 68(3): 237-252.
(SCI;SSCI;國科會推薦期刊)",2017,期刊論文,Journal of the Operational Research Society,O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111758.0,Under what conditions can an application service firm with in-house computing benefit from cloudbursting?,2018,期刊論文,European Journal of Operational Research,O,,張瑋倫,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305021.0,A Multilevel Study of Brand-Specific Transformational Leadership: Employee and Customer Effects,2019,期刊論文,Journal of Brand Management,,,"Chiang, Hsu-Hsin,David McConville",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305021.0,Lean Production and Organizational Performance: Moderating Roles of Ability- and Motivation-Focused Human Resource Management,2019,期刊論文,the International Journal of Human Resources Development and Management,,,"Liao, Wan-Chun",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305021.0,"“An Investigation of the Multilevel Relationships among Corporate Branding, Brand Knowledge Sharing Behavior and Innovation Performance: The Moderating Effect of Brand Commitment”",2016,,,X,"Hsu-Hsin Chiang, Aihwa Chang and Tzu-Shian Han (2016",,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305021.0,"“Corporate Branding, Brand Knowledge Sharing Behavior and Innovation Performance: The Moderating Effect of Brand Commitment”, will be presented at",2016,,,X,"Chiang, Hsu-Hsin, Tzu-Shian Han and Aihwa Chang (2016)",,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
127361.0,Developing indicators and evaluating practices of corporate employer branding: A study of leading companies in Taiwan,2018,,,X,"Tsai, W. C.","Duan, R.H.",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,VMI的建立 - 朗捷科技的抉擇,2016,,,X,,,Basic_or_Discovery_Scholarship,E7:Books (e.g. research monographs)
