teacher_id,year,semester,degree,num_class
111935,112,2,學士班,1
113618,112,2,學士班,1
113492,112,2,學士班,2
125939,112,2,學士班,3
132477,112,2,學士班,1
101653,112,2,學士班,1
124407,112,2,學士班,2
126891,112,2,學士班,2
122813,112,2,學士班,1
126836,112,2,學士班,1
102108,112,2,學士班,1
131348,112,2,學士班,2
128824,112,2,學士班,2
102700,112,2,學士班,4
111286,112,2,學士班,2
124481,112,2,學士班,1
101454,112,2,學士班,1
115112,112,2,學士班,1
104912,112,2,學士班,1
102105,112,2,學士班,2
102106,112,2,學士班,1
128835,112,2,學士班,3
102380,112,2,學士班,2
117067,112,2,學士班,3
114664,112,2,學士班,1
129966,112,2,學士班,1
127337,112,2,學士班,1
129360,112,2,學士班,1
132476,112,2,學士班,1
123991,112,2,學士班,2
126927,112,2,學士班,1
111758,112,2,學士班,3
128655,112,2,學士班,1
119921,112,2,學士班,1
130039,112,2,學士班,2
131062,112,2,學士班,1
101567,112,2,學士班,1
119794,112,2,學士班,1
130147,112,2,學士班,1
125884,112,2,學士班,1
102657,112,2,學士班,2
308508,112,2,學士班,1
115028,112,2,學士班,1
118658,112,2,學士班,1
118656,112,2,學士班,1
124573,112,2,學士班,1
301019,112,2,學士班,1
123164,112,2,學士班,2
111578,112,2,學士班,1
114671,112,2,學士班,1
128287,112,2,學士班,2
125917,112,2,學士班,3
115045,112,2,學士班,1
306012,112,2,學士班,1
131544,112,2,學士班,1
105859,112,2,學士班,3
128693,112,2,學士班,1
105923,112,2,學士班,1
125919,112,2,學士班,2
101801,112,2,學士班,1
128264,112,2,學士班,2
131061,112,2,學士班,2
125916,112,2,學士班,2
104973,112,2,學士班,1
127364,112,2,學士班,1
307501,112,2,學士班,1
301015,112,2,學士班,1
129491,112,2,學士班,1
130040,112,2,學士班,1
354005,112,2,學士班,1
111933,112,2,學士班,6
116258,112,2,學士班,2
125511,112,2,學士班,1
101831,112,2,學士班,2
132598,112,2,學士班,1
121376,112,2,學士班,1
113613,112,2,學士班,1
124028,112,2,學士班,1
127273,112,2,學士班,1
118657,112,2,學士班,2
101600,112,2,學士班,1
124532,112,2,學士班,2
127268,112,2,學士班,1
306009,112,2,學士班,2
103897,112,2,學士班,1
102063,112,2,學士班,4
